employerId,location,buildingId,age,hourlyRate
379,POINT (-1849.997168394888 1744.6010147106394),823,49.0,16.10881668
380,POINT (41.51783767879146 418.7264799744545),154,,12.65603532
381,POINT (877.2786575380362 1358.5441805909259),279,44.75,18.502153767499998
382,POINT (670.3987400004884 1584.4743462106067),3,35.25,15.559258527777779
383,POINT (829.9556783260775 2163.4803049897623),146,30.666666666666668,32.34297176625
384,POINT (880.1644882398598 4339.7016557216575),527,37.0,25.10963212
385,POINT (231.13884534051988 1095.6471792268785),782,36.4,21.899449633333333
386,POINT (-1349.8842287593952 1610.4623628717086),596,41.4,19.1066534225
387,POINT (864.9382009582821 1556.3972795892669),880,40.0,16.46182116
388,POINT (611.8427226577171 2550.7250184246723),986,41.6,20.353948631428572
389,POINT (1749.107722959826 4023.6598528872755),1020,36.0,18.497409513333334
390,POINT (994.4462620941047 3762.3654281251634),347,52.666666666666664,16.8435543475
391,POINT (609.8156412485578 787.4692664792319),632,29.0,11.941695039999999
392,POINT (-885.2966139548657 1555.9764946386085),315,34.333333333333336,24.75882353333333
393,POINT (903.9691099852218 4220.741537877808),592,36.0,18.538409335
394,POINT (865.149408963124 982.7393731902811),893,56.0,37.14055468
395,POINT (286.586327845334 1725.5999247626096),230,35.0,23.3934363825
396,POINT (868.902110395577 4390.34074468453),590,36.0,18.374028875
397,POINT (1499.3204774627252 4304.553083816536),351,33.69292333614153,14.870422686249999
398,POINT (754.0987512384932 1394.0500627767071),692,42.0,22.0487957325
399,POINT (1626.36173317109 4226.189405838731),180,34.0,14.142758844444444
400,POINT (753.1769059100845 1739.395851679909),227,51.0,20.123082466666666
401,POINT (-1674.8630003427375 1638.1520588255166),623,33.6,16.41660189375
402,POINT (1004.1152674725888 4462.540163068401),717,36.0,13.660098302
403,POINT (2026.3999572104358 4142.402774048681),1023,48.166666666666664,18.124980395714285
404,POINT (2630 4050),103,36.0,13.55676897
405,POINT (1535.4111740520664 4021.741043075247),982,48.6,19.011275915714286
406,POINT (973.2374190327052 3805.640410966102),347,32.333333333333336,14.784496136666668
