type;sourcename;sourceversion;device;creationdate;startdate;enddate;value;HKTimeZone
HKCategoryTypeIdentifierSleepAnalysis;Reloj;50;<<HKDevice: 0x282847250>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone8,1, software:10.3.1>;2017-05-18 06:00:21 -0300;2017-05-18 01:39:48 -0300;2017-05-18 06:00:16 -0300;HKCategoryValueSleepAnalysisInBed;America/Argentina/Buenos_Aires
HKCategoryTypeIdentifierSleepAnalysis;Facu’s Watch;7.0;;2020-09-22 08:31:35 -0300;2020-09-22 04:19:48 -0300;2020-09-22 06:00:48 -0300;HKCategoryValueSleepAnalysisAsleep;America/Argentina/Buenos_Aires
HKCategoryTypeIdentifierSleepAnalysis;Facu’s Watch;7.0;;2020-09-22 08:31:35 -0300;2020-09-22 06:01:48 -0300;2020-09-22 07:51:18 -0300;HKCategoryValueSleepAnalysisAsleep;America/Argentina/Buenos_Aires
HKCategoryTypeIdentifierSleepAnalysis;Facu’s Watch;7.0;;2020-09-22 08:31:35 -0300;2020-09-22 07:52:48 -0300;2020-09-22 07:53:48 -0300;HKCategoryValueSleepAnalysisAsleep;America/Argentina/Buenos_Aires
HKCategoryTypeIdentifierSleepAnalysis;Facu’s Watch;7.0;;2020-09-22 08:31:35 -0300;2020-09-22 07:56:48 -0300;2020-09-22 08:31:18 -0300;HKCategoryValueSleepAnalysisAsleep;America/Argentina/Buenos_Aires
HKCategoryTypeIdentifierSleepAnalysis;iPhone de Facundo;14.0;;2020-09-22 08:31:36 -0300;2020-09-22 04:16:26 -0300;2020-09-22 08:31:35 -0300;HKCategoryValueSleepAnalysisInBed;America/Argentina/Buenos_Aires
HKCategoryTypeIdentifierSleepAnalysis;Facu’s Watch;7.0;;2020-09-23 08:00:16 -0300;2020-09-23 02:20:04 -0300;2020-09-23 02:23:34 -0300;HKCategoryValueSleepAnalysisAsleep;America/Argentina/Buenos_Aires
HKCategoryTypeIdentifierSleepAnalysis;Facu’s Watch;7.0;;2020-09-23 08:00:16 -0300;2020-09-23 02:25:34 -0300;2020-09-23 05:42:34 -0300;HKCategoryValueSleepAnalysisAsleep;America/Argentina/Buenos_Aires
HKCategoryTypeIdentifierSleepAnalysis;Facu’s Watch;7.0;;2020-09-23 08:00:16 -0300;2020-09-23 05:44:04 -0300;2020-09-23 08:00:04 -0300;HKCategoryValueSleepAnalysisAsleep;America/Argentina/Buenos_Aires
HKCategoryTypeIdentifierSleepAnalysis;iPhone de Facundo;14.0;;2020-09-23 08:00:16 -0300;2020-09-23 02:13:16 -0300;2020-09-23 08:00:15 -0300;HKCategoryValueSleepAnalysisInBed;America/Argentina/Buenos_Aires
HKCategoryTypeIdentifierSleepAnalysis;Facu’s Watch;7.0;;2020-09-24 08:09:41 -0300;2020-09-24 00:46:40 -0300;2020-09-24 00:48:40 -0300;HKCategoryValueSleepAnalysisAsleep;America/Argentina/Buenos_Aires
HKCategoryTypeIdentifierSleepAnalysis;Facu’s Watch;7.0;;2020-09-24 08:09:41 -0300;2020-09-24 00:50:40 -0300;2020-09-24 06:22:10 -0300;HKCategoryValueSleepAnalysisAsleep;America/Argentina/Buenos_Aires
